,begin loc,begin name,end loc,end name,grids through,num through
42,"(-71.097269400000002, 42.347899299999987)",Massachusetts Tpke,"(-71.137038299999986, 42.401472800000008)",Massachusetts Ave,"[1072, 1121, 1122, 1171, 1220, 1221, 1270, 1320, 1369, 1370, 1419, 1468, 1469, 1518, 1568, 1617, 1618, 1667, 1716, 1717, 1766, 1816, 1865, 1866, 1915, 1964, 1965, 2014, 2064, 2113, 2114]",31
43,"(-71.137038299999986, 42.401472800000008)",Massachusetts Ave,"(-71.064373400000022, 42.330960100000013)",Southampton St,"[778, 779, 828, 877, 878, 927, 976, 977, 1026, 1075, 1076, 1124, 1125, 1174, 1223, 1224, 1273, 1322, 1323, 1372, 1421, 1422, 1470, 1471, 1520, 1569, 1570, 1619, 1668, 1669, 1718, 1767, 1768, 1816, 1817, 1866, 1915, 1916, 1965, 2014, 2015, 2064, 2113, 2114]",44
44,"(-71.064373400000022, 42.330960100000013)",Southampton St,"(-71.057119399999976, 42.320493999999997)",Columbia Rd,"[580, 630, 679, 680, 729, 779]",6
45,"(-71.057119399999976, 42.320493999999997)",Columbia Rd,"(-71.047747299999997, 42.3038539)",Morrissey Blvd,"[232, 282, 332, 381, 382, 431, 481, 530, 531, 580]",10
46,"(-71.047747299999997, 42.3038539)",Morrissey Blvd,"(-71.050324500000002, 42.301281699999997)",Freeport St,"[182, 232]",2
47,"(-71.190712699999978, 42.417028700000003)",Dow Ave,"(-71.180415599999975, 42.4173695)",Park Ave,"[2402, 2403, 2404]",3
48,"(-71.154054199999976, 42.413997299999998)",MA-60/Pleasant St,"(-71.152322700000013, 42.4033011)",Lake St,"[2160, 2210, 2260, 2310, 2360]",5
49,"(-71.158327, 42.402767300000001)",Lake St,"(-71.134302499999976, 42.404287799999999)",US-3/MA-16,"[2159, 2160, 2161, 2162, 2163, 2164]",6
50,"(-71.134302499999976, 42.404287799999999)",US-3/MA-16,"(-71.152322700000013, 42.4033011)",Lake St,"[2160, 2161, 2162, 2163, 2164]",5
51,"(-71.152322700000013, 42.4033011)",Lake St,"(-71.154054199999976, 42.413997299999998)",MA-60/Pleasant St,"[2160, 2210, 2260, 2310, 2360]",5
52,"(-71.154054199999976, 42.413997299999998)",MA-60/Pleasant St,"(-71.181398299999998, 42.418561100000012)",Park Ave,"[2358, 2359, 2360, 2405, 2406, 2407, 2408, 2454, 2455]",9
53,"(-71.181398299999998, 42.418561100000012)",Park Ave,"(-71.190712699999978, 42.417028700000003)",Dow Ave,"[2402, 2403, 2453, 2454]",4
54,"(-71.056141199999999, 42.362452600000012)",I-93,"(-71.047285700000003, 42.384988200000002)",Mystic River/Tobin Brg (South),"[1381, 1431, 1481, 1531, 1581, 1631, 1632, 1682, 1732, 1782, 1832]",11
55,"(-71.047285700000003, 42.384988200000002)",Mystic River/Tobin Brg (South),"(-71.047285700000003, 42.384988200000002)",Mystic Riv/Tobin Brg Toll Plaza,[1832],1
56,"(-71.047285700000003, 42.384988200000002)",Mystic Riv/Tobin Brg Toll Plaza,"(-71.047285700000003, 42.384988200000002)",Mystic River/Tobin Brg (North),[1832],1
57,"(-71.047285700000003, 42.384988200000002)",Mystic River/Tobin Brg (North),"(-71.038490099999976, 42.391407399999999)",Chestnut St,"[1832, 1833, 1883, 1884, 1934]",5
58,"(-71.038490099999976, 42.391407399999999)",Chestnut St,"(-71.039464699999996, 42.394728499999999)",4th St,"[1934, 1984]",2
59,"(-71.039464699999996, 42.394728499999999)",4th St,"(-71.035631299999977, 42.394119799999999)",5th St/6th St,"[1984, 1985]",2
60,"(-71.035631299999977, 42.394119799999999)",5th St/6th St,"(-71.040687699999978, 42.399038399999988)",Carter St,"[1985, 2034, 2035, 2084]",4
61,"(-71.040687699999978, 42.399038399999988)",Carter St,"(-71.024954100000002, 42.401299000000009)",Webster Ave,"[2084, 2085, 2135, 2136, 2137]",5
62,"(-71.024954100000002, 42.401299000000009)",Webster Ave,"(-71.040616999999997, 42.401838499999997)",MA-16,"[2134, 2135, 2136, 2137]",4
63,"(-71.013746599999976, 42.4035662)",MA-16,"(-71.024624599999996, 42.420504600000001)",Sargent St,"[2189, 2190, 2239, 2289, 2338, 2339, 2388, 2438, 2487, 2488]",10
64,"(-71.024624599999996, 42.420504600000001)",Sargent St,"(-71.013746599999976, 42.4035662)",MA-16,"[2189, 2190, 2239, 2289, 2338, 2339, 2388, 2438, 2487, 2488]",10
65,"(-71.040616999999997, 42.401838499999997)",MA-16,"(-71.024954100000002, 42.401299000000009)",Webster Ave,"[2134, 2135, 2136, 2137]",4
66,"(-71.024954100000002, 42.401299000000009)",Webster Ave,"(-71.040687699999978, 42.399038399999988)",Carter St,"[2084, 2085, 2135, 2136, 2137]",5
67,"(-71.040687699999978, 42.399038399999988)",Carter St,"(-71.035631299999977, 42.394119799999999)",5th St/6th St,"[1985, 2034, 2035, 2084]",4
68,"(-71.035631299999977, 42.394119799999999)",5th St/6th St,"(-71.039464699999996, 42.394728499999999)",4th St,"[1984, 1985]",2
69,"(-71.039464699999996, 42.394728499999999)",4th St,"(-71.038490099999976, 42.391407399999999)",Chestnut St,"[1934, 1984]",2
70,"(-71.038490099999976, 42.391407399999999)",Chestnut St,"(-71.047285700000003, 42.384988200000002)",Mystic River/Tobin Brg (North),"[1832, 1833, 1883, 1884, 1934]",5
71,"(-71.047285700000003, 42.384988200000002)",Mystic River/Tobin Brg (North),"(-71.047285700000003, 42.384988200000002)",Mystic Riv/Tobin Brg Toll Plaza,[1832],1
72,"(-71.047285700000003, 42.384988200000002)",Mystic Riv/Tobin Brg Toll Plaza,"(-71.047285700000003, 42.384988200000002)",Mystic River/Tobin Brg (South),[1832],1
73,"(-71.047285700000003, 42.384988200000002)",Mystic River/Tobin Brg (South),"(-71.056141199999999, 42.362452600000012)",I-93,"[1381, 1431, 1481, 1531, 1581, 1631, 1632, 1682, 1732, 1782, 1832]",11
