,Parameter Name,Site_keys,LU,ppm
40,TSP - combined,[  32.179244 -110.875644],"{'Commercial and Services': 0.81, 'Residential': 0.13, 'Other urban or built-up land': 0.06}",0.0159202
41,TSP - combined,[  32.27229  -110.989079],"{'Commercial and Services': 0.0196078431372549, 'Residential': 0.6274509803921569, 'Other urban or built-up land': 0.35294117647058826}",0.01698418
42,TSP - combined,[  32.247298 -110.836753],"{'Commercial and Services': 0.03, 'Shrub-brushland rangeland': 0.95, 'Strip mines, quarries and gravel pits': 0.01, 'Residential': 0.01}",0.016675237000000002
43,TSP - combined,[  32.265631 -110.970092],"{'Commercial and Services': 0.01, 'Residential': 0.99}",0.013738554
44,TSP - combined,[  32.231743 -110.952036],"{'Commercial and Services': 0.98, 'Residential': 0.02}",0.000395088
45,TSP - combined,[  32.322661 -111.038389],"{'Residential': 0.54, 'Other urban or built-up land': 0.07, 'Cropland and pasture': 0.16, 'Transitional areas': 0.13, 'Shrub-brushland rangeland': 0.1}",0.0005515
46,TSP - combined,[  32.419167 -111.162222],"{'Residential': 0.01, 'Cropland and pasture': 0.94, 'Transportation, communications and services': 0.05}",0.00019333300000000001
47,TSP - combined,[  32.382036 -112.857453],"{'Shrub-brushland rangeland': 0.5181347150259067, 'Industrial': 0.17098445595854922, 'Residential': 0.31088082901554404}",0.025069424
48,TSP - combined,[  32.598611 -110.633611],"{'Commercial and Services': 0.25903614457831325, 'Shrub-brushland rangeland': 0.6024096385542169, 'Other urban or built-up land': 0.012048192771084338, 'Residential': 0.12650602409638553}",0.000805088
49,TSP - combined,[  32.877583 -111.752222],"{'Commercial and Services': 0.37, 'Residential': 0.13, 'Cropland and pasture': 0.5}",0.031710679000000006
50,TSP - combined,[  33.025    -111.388056],"{'Commercial and Services': 0.16, 'Shrub-brushland rangeland': 0.27, 'Other urban or built-up land': 0.02, 'Transitional areas': 0.1, 'Residential': 0.45}",0.00090675
51,TSP - combined,[  33.291389 -111.101667],"{'Commercial and Services': 0.005, 'Shrub-brushland rangeland': 0.5, 'Residential': 0.495}",0.000176034
52,TSP - combined,[  31.340278 -110.94    ],"{'Commercial and Services': 0.45, 'Residential': 0.55}",0.0008442620000000001
53,TSP - combined,[  31.337204 -110.936718],"{'Commercial and Services': 0.31, 'Residential': 0.62, 'Null area -- no land use assigned': 0.05, 'Shrub-brushland rangeland': 0.02}",0.000221071
54,TSP - combined,[  34.582386 -111.824607],{'Shrub-brushland rangeland': 1.0},0.001265862
55,TSP - combined,[  34.534722 -112.479722],"{'Commercial and Services': 0.07547169811320754, 'Residential': 0.9245283018867925}",0.001517143
56,TSP - combined,[  34.558611 -112.4825  ],"{'Commercial and Services': 0.68, 'Residential': 0.32}",0.014043322
57,TSP - combined,[  34.767222 -112.063333],"{'Shrub-brushland rangeland': 0.76, 'Other urban or built-up land': 0.07, 'Residential': 0.17}",0.000582105
58,TSP - combined,[  35.513486 -113.322198],"{'Commercial and Services': 0.03636363636363636, 'Strip mines, quarries and gravel pits': 0.05454545454545454, 'Evergreen forest land': 0.9090909090909091}",0.0012324999999999999
59,TSP - combined,[  32.723333 -114.622065],"{'Commercial and Services': 0.9215686274509803, 'Residential': 0.0784313725490196}",0.04619756
60,TSP - combined,[  37.535833 -121.961823],"{'Commercial and Services': 0.62, 'Residential': 0.35, 'Cropland and pasture': 0.03}",0.033021231
61,TSP - combined,[  37.682708 -121.770231],"{'Commercial and Services': 0.77, 'Residential': 0.23}",0.0013735
62,TSP - combined,[  37.87687  -122.266913],"{'Commercial and Services': 0.32, 'Residential': 0.68}",0.000362909
63,TSP - combined,[  37.886869 -122.027462],"{'Residential': 0.97, 'Evergreen forest land': 0.03}",0.05446360200000001
64,TSP - combined,[  37.936013 -122.026154],"{'Commercial and Services': 0.6, 'Residential': 0.4}",0.000442075
65,TSP - combined,[  37.949924 -122.357193],"{'Commercial and Services': 0.0196078431372549, 'Residential': 0.6176470588235294, 'Industrial': 0.3627450980392157}",0.015294231
66,TSP - combined,[  38.029258 -121.896866],"{'Residential': 0.17, 'Industrial': 0.46, 'Other urban or built-up land': 0.25, 'Nonforested wetland': 0.12}",0.000717736
67,TSP - combined,[  36.737172 -119.753754],"{'Commercial and Services': 0.63, 'Residential': 0.37}",0.000113148
68,TSP - combined,[  36.725228 -119.751254],"{'Commercial and Services': 0.46, 'Residential': 0.23, 'Industrial': 0.12, 'Cropland and pasture': 0.19}",0.000358
69,TSP - combined,[  32.664226 -115.506384],"{'Commercial and Services': 0.13, 'Shrub-brushland rangeland': 0.03, 'Null area -- no land use assigned': 0.68, 'Other urban or built-up land': 0.09, 'Transportation, communications and services': 0.07}",0.001149138
70,TSP - combined,[  32.793389 -115.563051],"{'Commercial and Services': 0.5545454545454546, 'Residential': 0.44545454545454544}",0.012916576
71,TSP - combined,[  35.624678 -117.670897],"{'Commercial and Services': 0.34517766497461927, 'Shrub-brushland rangeland': 0.5076142131979695, 'Other urban or built-up land': 0.03553299492385787, 'Residential': 0.1116751269035533}",0.000967857
72,TSP - combined,[  35.383014 -118.9726  ],"{'Commercial and Services': 0.24, 'Residential': 0.76}",0.00019709100000000001
73,TSP - combined,[  35.374959 -119.022602],"{'Commercial and Services': 0.96, 'Herbaceous Rangeland': 0.04}",0.009714489
74,TSP - combined,[  35.312186 -119.617624],"{'Commercial and Services': 0.0990990990990991, 'Shrub-brushland rangeland': 0.9009009009009009}",0.000443878
75,TSP - combined,[  35.431068 -119.021767],"{'Residential': 0.6, 'Transitional areas': 0.16, 'Strip mines, quarries and gravel pits': 0.24}",0.00069
76,TSP - combined,[  35.434679 -119.013434],"{'Commercial and Services': 0.06542056074766354, 'Residential': 0.719626168224299, 'Industrial': 0.102803738317757, 'Transitional areas': 0.11214953271028037}",0.005312351999999999
77,TSP - combined,[  35.770234 -119.586234],"{'Shrub-brushland rangeland': 0.89, 'Other agricultural land': 0.11}",0.006963209
78,TSP - combined,[  35.1433   -119.465675],"{'Commercial and Services': 0.12345679012345678, 'Shrub-brushland rangeland': 0.6172839506172839, 'Industrial': 0.05555555555555555, 'Transportation, communications and services': 0.018518518518518517, 'Residential': 0.18518518518518517}",0.000240169
79,TSP - combined,[  39.0327  -122.92229],"{'Industrial': 0.15, 'Orchards, groves, vineyards, nurseries..': 0.81, 'Transportation, communications and services': 0.04}",0.000214727
80,TSP - combined,[  33.92899 -118.21071],"{'Commercial and Services': 0.57, 'Residential': 0.43}",0.005335557
81,TSP - combined,[  33.82376 -118.18921],"{'Commercial and Services': 0.23, 'Residential': 0.44, 'Industrial': 0.27, 'Transportation, communications and services': 0.06}",0.0301175
82,TSP - combined,[  33.930292 -118.369798],"{'Commercial and Services': 0.03, 'Residential': 0.74, 'Industrial': 0.09, 'Transportation, communications and services': 0.14}",0.0046511370000000005
83,TSP - combined,[  34.1365  -117.92391],"{'Strip mines, quarries and gravel pits': 0.39, 'Industrial': 0.61}",0.000362833
84,TSP - combined,[  34.14435 -117.85036],"{'Commercial and Services': 0.11504424778761062, 'Residential': 0.8849557522123894}",0.007021667
85,TSP - combined,[  34.149451 -118.124515],"{'Commercial and Services': 0.6581196581196581, 'Residential': 0.28205128205128205, 'Transportation, communications and services': 0.05982905982905983}",0.000208393
86,TSP - combined,[  34.058345 -118.250907],"{'Commercial and Services': 0.3602150537634409, 'Residential': 0.03225806451612903, 'Other urban or built-up land': 0.043010752688172046, 'Transportation, communications and services': 0.5376344086021505, 'Mixed urban or built-up land': 0.026881720430107527}",0.009150385
87,TSP - combined,[  34.06659 -118.22688],"{'Commercial and Services': 0.015789473684210527, 'Industrial': 0.45789473684210524, 'Transportation, communications and services': 0.5263157894736842}",0.000333036
88,TSP - combined,[  34.19925 -118.53276],"{'Commercial and Services': 0.4152046783625731, 'Residential': 0.5847953216374269}",0.00911
89,TSP - combined,[  34.01407 -118.06056],"{'Commercial and Services': 0.12, 'Residential': 0.43, 'Other urban or built-up land': 0.38, 'Transportation, communications and services': 0.07}",0.000225435
90,TSP - combined,[  34.712206 -118.140073],"{'Commercial and Services': 0.03, 'Residential': 0.26, 'Other urban or built-up land': 0.05, 'Shrub-brushland rangeland': 0.66}",0.011064544999999999
91,TSP - combined,[  37.97231  -122.520004],"{'Commercial and Services': 0.76, 'Residential': 0.24}",0.016574118000000002
92,TSP - combined,[  39.435168 -123.80946 ],"{'Commercial and Services': 0.01, 'Residential': 0.49, 'Industrial': 0.26, 'Transportation, communications and services': 0.24}",0.023352857999999997
93,TSP - combined,[  39.445723 -123.803905],"{'Commercial and Services': 0.32, 'Residential': 0.65, 'Industrial': 0.03}",0.00016
94,TSP - combined,[  36.697181 -121.633556],"{'Commercial and Services': 0.3271604938271605, 'Residential': 0.05555555555555555, 'Cropland and pasture': 0.6172839506172839}",0.00010611400000000002
95,TSP - combined,[  38.310942 -122.296189],"{'Commercial and Services': 0.2, 'Residential': 0.8}",0.0009029309999999999
96,TSP - combined,[  33.821353 -117.91427 ],"{'Commercial and Services': 0.1864406779661017, 'Residential': 0.6610169491525424, 'Other urban or built-up land': 0.09322033898305085, 'Transportation, communications and services': 0.059322033898305086}",0.04295492000000001
97,TSP - combined,[  33.656131 -117.930613],"{'Commercial and Services': 0.2169811320754717, 'Residential': 0.7264150943396226, 'Other urban or built-up land': 0.05660377358490566}",0.0004296
98,TSP - combined,[  33.627244 -117.691163],"{'Commercial and Services': 0.53, 'Residential': 0.23, 'Orchards, groves, vineyards, nurseries..': 0.24}",0.000474533
99,TSP - combined,[  33.92513 -117.95264],"{'Commercial and Services': 0.05263157894736842, 'Residential': 0.868421052631579, 'Other urban or built-up land': 0.07894736842105263}",0.004290833
100,TSP - combined,[  33.750573 -117.870333],"{'Commercial and Services': 0.89, 'Residential': 0.11}",0.000105
