,begin loc,begin name,end loc,end name,grids through,num through
127,"(-71.138437999999994, 42.402744800000001)",US-3/Massachusetts Ave,"(-71.164485799999994, 42.405861299999998)",MA-2/Concord Tpke,"[2159, 2160, 2161, 2162, 2163, 2207, 2208, 2209]",8
128,"(-71.172949700000004, 42.4088347)",MA-2/Concord Tpke,"(-71.181432899999976, 42.398282299999998)",Concord Ave,"[2054, 2104, 2105, 2155, 2205, 2255, 2256]",7
129,"(-71.181432899999976, 42.398282299999998)",Concord Ave,"(-71.196589699999976, 42.391368999999997)",Mill St/Trapelo Rd,"[1901, 1951, 1952, 2002, 2003, 2053, 2054]",7
130,"(-71.127208999999993, 42.327948600000006)",Walnut St/Boylston St,"(-71.194635499999976, 42.317823199999999)",Parker St,"[501, 502, 503, 504, 554, 555, 556, 557, 558, 608, 609, 610, 611, 661, 662, 663, 664, 665, 715]",19
131,"(-71.194635499999976, 42.317823199999999)",Parker St,"(-71.181420899999978, 42.312408900000001)",Dudley Rd,"[403, 404, 451, 452, 453, 501]",6
132,"(-71.181420899999978, 42.312408900000001)",Dudley Rd,"(-71.175642700000026, 42.325782799999999)",Hammond Pond Pkwy,"[404, 454, 504, 505, 555, 605, 655]",7
133,"(-71.172488399999978, 42.321187399999999)",Hammond Pond Pkwy,"(-71.165167000000025, 42.325211000000003)",Hammond St,"[556, 606, 607, 657]",4
134,"(-71.163142299999976, 42.317329099999988)",Hammond St,"(-71.142607499999997, 42.326457900000001)",Heath St/Chestnut Hill Ave,"[508, 509, 559, 560, 610, 611, 661, 662]",8
135,"(-71.142607499999997, 42.326457900000001)",Heath St/Chestnut Hill Ave,"(-71.126070299999995, 42.329643200000007)",Cypress St,"[662, 663, 713, 714, 715, 716]",6
136,"(-71.126070299999995, 42.329643200000007)",Cypress St,"(-71.056391299999987, 42.353544399999997)",High St/Walnut St/Washington St,"[716, 766, 767, 768, 818, 819, 869, 870, 871, 921, 922, 972, 973, 974, 1024, 1025, 1026, 1076, 1077, 1127, 1128, 1129, 1179, 1180, 1230]",25
137,"(-71.114465500000023, 42.3321282)",Brookline Ave,"(-71.111931000000013, 42.331684000000003)",River Rd/Riverway/Pond Ave,"[768, 769]",2
138,"(-71.112904099999994, 42.333604100000002)",Brookline Ave,"(-71.056391299999987, 42.353544399999997)",High St/Walnut St/Washington St,"[818, 819, 869, 870, 871, 921, 922, 923, 973, 974, 1024, 1025, 1026, 1076, 1077, 1127, 1128, 1129, 1179, 1180, 1230]",21
139,"(-71.126070299999995, 42.329643200000007)",Cypress St,"(-71.140203599999978, 42.320870500000012)",Lee St,"[563, 613, 614, 664, 665, 715, 716]",7
140,"(-71.140203599999978, 42.320870500000012)",Lee St,"(-71.142607499999997, 42.326457900000001)",Heath St/Chestnut Hill Ave,"[562, 563, 612, 662]",4
141,"(-71.142607499999997, 42.326457900000001)",Heath St/Chestnut Hill Ave,"(-71.163142299999976, 42.317329099999988)",Hammond St,"[508, 509, 559, 560, 610, 611, 661, 662]",8
142,"(-71.165167000000025, 42.325211000000003)",Hammond St,"(-71.172488399999978, 42.321187399999999)",Hammond Pond Pkwy,"[556, 606, 607, 657]",4
143,"(-71.175642700000026, 42.325782799999999)",Hammond Pond Pkwy,"(-71.181420899999978, 42.312408900000001)",Dudley Rd,"[404, 454, 504, 505, 555, 605, 655]",7
144,"(-71.181420899999978, 42.312408900000001)",Dudley Rd,"(-71.194635499999976, 42.317823199999999)",Parker St,"[403, 404, 451, 452, 453, 501]",6
145,"(-71.194635499999976, 42.317823199999999)",Parker St,"(-71.127208999999993, 42.327948600000006)",Walnut St/Boylston St,"[501, 502, 503, 504, 554, 555, 556, 557, 558, 608, 609, 610, 611, 661, 662, 663, 664, 665, 715]",19
